date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:11:00	12721/12721	---MCZ	200	added ('OK')	application/json	date:Wed,%2031%20May%202023%2016:41:00%20GMT	http://plainswipe.local/wp-json/wp/v2/pages/75	plainswipe.local/wp-json/wp/v2/pages/75.json	(from http://plainswipe.local/15c42-web-agency-gb-contact-us/)
22:11:01	2482/2482	---MCZ	200	added ('OK')	application/json	date:Wed,%2031%20May%202023%2016:41:01%20GMT	http://plainswipe.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fplainswipe.local%2F15c42-web-agency-gb-contact-us%2F	plainswipe.local/wp-json/oembed/1.0/embed32e7.json	(from http://plainswipe.local/15c42-web-agency-gb-contact-us/)
22:11:02	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2031%20May%202023%2016:41:02%20GMT	http://plainswipe.local/?p=75	plainswipe.local/indexe839.html	(from http://plainswipe.local/15c42-web-agency-gb-contact-us/)
22:11:03	1694/1694	---M--	200	added ('OK')	image/png	etag:%22647345df-69e%22	http://plainswipe.local/wp-content/uploads/2021/06/phone-sm.png	plainswipe.local/wp-content/uploads/2021/06/phone-sm.png	(from http://plainswipe.local/15c42-web-agency-gb-contact-us/)
22:11:04	1055/1055	---M--	200	added ('OK')	image/png	etag:%22647345df-41f%22	http://plainswipe.local/wp-content/uploads/2021/06/email-sm.png	plainswipe.local/wp-content/uploads/2021/06/email-sm.png	(from http://plainswipe.local/15c42-web-agency-gb-contact-us/)
22:11:05	1761/1761	---M--	200	added ('OK')	image/png	etag:%22647345df-6e1%22	http://plainswipe.local/wp-content/uploads/2021/06/location-sm.png	plainswipe.local/wp-content/uploads/2021/06/location-sm.png	(from http://plainswipe.local/15c42-web-agency-gb-contact-us/)
22:11:06	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2031%20May%202023%2016:41:06%20GMT	http://plainswipe.local/xmlrpc.php	plainswipe.local/xmlrpc.php	(from http://plainswipe.local/hello-world/)
22:11:07	2100/2100	---MCZ	200	added ('OK')	application/json	date:Wed,%2031%20May%202023%2016:41:07%20GMT	http://plainswipe.local/wp-json/wp/v2/posts/1	plainswipe.local/wp-json/wp/v2/posts/1.json	(from http://plainswipe.local/hello-world/)
22:11:08	2450/2450	---MCZ	200	added ('OK')	application/json	date:Wed,%2031%20May%202023%2016:41:08%20GMT	http://plainswipe.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fplainswipe.local%2Fhello-world%2F	plainswipe.local/wp-json/oembed/1.0/embed65bc.json	(from http://plainswipe.local/hello-world/)
22:11:09	1620/1620	---MC-	200	added ('OK')	application/rss+xml	etag:%2283062861de3282452f599d3382b51044%22	http://plainswipe.local/hello-world/feed/	plainswipe.local/hello-world/feed/index.html	(from http://plainswipe.local/hello-world/)
22:11:09	2516/2516	---MCZ	200	added ('OK')	text/xml	date:Wed,%2031%20May%202023%2016:41:09%20GMT	http://plainswipe.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fplainswipe.local%2Fhello-world%2F&format=xml	plainswipe.local/wp-json/oembed/1.0/embedfb0e	(from http://plainswipe.local/hello-world/)
22:11:10	2981/2981	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22625095f6-ba5%22	http://plainswipe.local/wp-includes/js/comment-reply.min.js?ver=6.2.2	plainswipe.local/wp-includes/js/comment-reply.min3781.js	(from http://plainswipe.local/hello-world/)
22:11:11	603/603	---MCZ	200	added ('OK')	application/json	date:Wed,%2031%20May%202023%2016:41:11%20GMT	http://plainswipe.local/wp-json/wp/v2/users/1	plainswipe.local/wp-json/wp/v2/users/1.json	(from http://plainswipe.local/author/rohitkumar/)
22:11:11	56602/56602	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20May%202023%2016:41:11%20GMT	http://plainswipe.local/hello-world/?replytocom=1	plainswipe.local/hello-world/index6809.html	(from http://plainswipe.local/hello-world/)
22:11:13	57058/57058	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20May%202023%2016:41:12%20GMT	http://plainswipe.local/what-is-the-progressive-web-app-pwa-and-how-it-works/	plainswipe.local/what-is-the-progressive-web-app-pwa-and-how-it-works/index.html	(from http://plainswipe.local/)
